,campaign_id,campaign_description,campaign_date,campaign_target_group_count,campaign_control_group_count,campaign_has_control_group,campaign_unique_email_opens,campaign_unique_link_clicks,campaign_target_total_spend,campaign_target_total_admission,campaign_target_box_office_spend,campaign_target_concession_spend,campaign_control_total_spend,campaign_control_total_admission,campaign_target_spend_per_moviegoer,campaign_control_spend_per_moviegoer,campaign_spend_uplift_per_moviegoer,campaign_spend_uplift_per_moviegoer_%
0,22160,Campaign # 1,2019-01-01,1,0,False,0,1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,22166,Campaign # 2,2019-01-03,1981,0,False,181,30,17551.56,1071,10244.43,7000.88,0.0,0,8.86,0.0,8.86,0.0
2,22173,Campaign # 3,2019-01-04,2648,0,False,177,83,4304.76,320,2850.4,1154.3600000000001,360.15,28,1.44,0.12,1.3199999999999998,1100.0
3,22174,Campaign # 4,2019-01-04,3540,0,False,289,217,11006.17,675,7324.09,2705.83,1075.51,63,2.83,0.28,2.55,910.71
4,22175,Campaign # 5,2019-01-04,11194,0,False,386,94,58950.5,3382,33896.7,23952.55,1972.26,121,5.1,0.17,4.93,2900.0
5,22176,Campaign # 6,2019-01-04,37157,0,False,1569,609,169965.29,11573,113685.66,50915.88,1697.28,117,4.53,0.05,4.48,8960.0
6,22177,Campaign # 7,2019-01-04,226180,0,False,8613,2234,320438.34,18061,173425.17,138595.02,0.0,0,1.42,0.0,1.42,0.0
7,22189,Campaign # 8,2019-01-08,1,0,False,0,0,12.3,2,0.0,12.3,0.0,0,12.3,0.0,12.3,0.0
8,22197,Campaign # 9,2019-01-08,64,0,False,4,3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9,22202,Campaign # 10,2019-01-10,3330,0,False,76,77,25848.72,1727,15809.72,9370.25,0.0,0,7.76,0.0,7.76,0.0
10,22203,Campaign # 11,2019-01-10,2309,0,False,46,32,16456.32,1058,9728.26,6123.06,0.0,0,7.13,0.0,7.13,0.0
11,22206,Campaign # 12,2019-01-10,101,0,False,22,17,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
12,22212,Campaign # 13,2019-01-11,182711,0,False,7252,1289,490838.95,29019,280641.44,193827.76,0.0,0,2.69,0.0,2.69,0.0
13,22213,Campaign # 14,2019-01-11,2374,0,False,46,11,7049.47,366,3958.55,2959.67,1242.86,70,2.6,0.46,2.14,465.22
14,22214,Campaign # 15,2019-01-11,11018,0,False,536,142,64746.47,3980,37913.07,25190.74,2492.77,156,5.68,0.22,5.46,2481.82
15,22215,Campaign # 16,2019-01-11,12305,0,False,2931,148,65387.909999999996,4011,38842.98,24852.43,2124.6,123,5.16,0.17,4.99,2935.29
16,22216,Campaign # 17,2019-01-11,8929,0,False,208,87,62577.43,4088,38992.33,21731.35,2544.71,160,6.73,0.27,6.460000000000001,2392.59
17,22217,Campaign # 18,2019-01-11,22510,0,False,692,334,78967.27,5107,48939.52,26376.15,0.0,0,3.51,0.0,3.51,0.0
18,22218,Campaign # 19,2019-01-11,7173,0,False,259,104,35054.15,2260,20496.06,13029.34,1446.53,102,4.65,0.19,4.46,2347.37
19,22219,Campaign # 20,2019-01-11,217110,0,False,12043,1905,288285.55,16326,159020.2,119650.95,0.0,0,1.33,0.0,1.33,0.0
20,22235,Campaign # 21,2019-01-15,1,0,False,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,22236,Campaign # 22,2019-01-15,4397,0,False,109,37,32537.92,1905,18884.829999999998,12369.84,0.0,0,7.4,0.0,7.4,0.0
22,22240,Campaign # 23,2019-01-17,1,0,False,0,0,67.26,5,48.730000000000004,14.780000000000001,0.0,0,67.26,0.0,67.26,0.0
23,22246,Campaign # 24,2019-01-18,10046,1125,True,157,76,110524.36,6676,64782.76,42105.12,12964.7,740,9.89,1.16,8.73,752.59
24,22250,Campaign # 25,2019-01-18,9365,0,False,203,74,61123.92,3453,33950.659999999996,25834.04,2232.9,126,6.28,0.23,6.05,2630.43
25,22251,Campaign # 26,2019-01-18,272819,0,False,3048,970,585548.8,34962,331636.01,231414.02,0.0,0,2.15,0.0,2.15,0.0
